prompt,actual_answer,response,most_similar_answer,is_most_similar_actual,question,cosine_similarity_with_actual_answer,bleu_score
,"Inflammatory carcinoma is a subtype of invasive ductal carcinoma, which is a type of breast cancer. Inflammatory carcinoma is characterized by cancer cells that block lymphatic vessels in the skin of the breast, causing the breast to become red, swollen, and warm to the touch. This type of cancer is called ""inflammatory"" because it can mimic the symptoms of an inflammatory response, such as an infection. Inflammatory carcinoma is often more aggressive than other types of breast cancer, and it may be more likely to spread to other parts of the body. Treatment for inflammatory carcinoma typically involves a combination of surgery, chemotherapy, and radiation therapy, as well as targeted therapies that are designed to attack specific proteins on the surface of cancer cells.","Inflammatory carcinoma is a rare and aggressive form of breast cancer that presents with diffuse erythema, edema, peau d'orange (skin dimpling), warmth, or induration. It typically does not present with an underlying mass. Inflammatory breast cancer accounts for approximately 1-5% of all cases of breast cancer in the United States and has a poor prognosis due to its rapid growth and tendency to spread quickly to other parts of the body. Treatment may involve chemotherapy, surgery,","Inflammatory carcinoma is a subtype of invasive ductal carcinoma, which is a type of breast cancer. Inflammatory carcinoma is characterized by cancer cells that block lymphatic vessels in the skin of the breast, causing the breast to become red, swollen, and warm to the touch. This type of cancer is called ""inflammatory"" because it can mimic the symptoms of an inflammatory response, such as an infection. Inflammatory carcinoma is often more aggressive than other types of breast cancer, and it may be more likely to spread to other parts of the body. Treatment for inflammatory carcinoma typically involves a combination of surgery, chemotherapy, and radiation therapy, as well as targeted therapies that are designed to attack specific proteins on the surface of cancer cells.",True,What is inflammatory carcinoma and what are its defining characteristics?,0.8066750738633596,0.11043351607162635
,"Campylobacter jejuni is a type of curved bacteria that is commonly associated with food poisoning. In addition to causing gastrointestinal symptoms, Campylobacter jejuni can also lead to reactive arthritis, which is a type of spondyloarthropathy that affects the joints, especially in the lower extremities.","Campylobacter jejuni is a type of bacteria that can cause infection in humans. One condition that it can cause is Guillain-Barré syndrome, which is an autoimmune disorder characterized by progressive muscle weakness and paralysis. Campylobacteriosis, caused by C.jejuni, occurs as a result of consuming contaminated food or water, typically from undercooked poultry or unpasteurized milk. In rare cases (1:1000) the infection with C.jejuni may lead to","Campylobacter jejuni is a type of curved bacteria that is commonly associated with food poisoning. In addition to causing gastrointestinal symptoms, Campylobacter jejuni can also lead to reactive arthritis, which is a type of spondyloarthropathy that affects the joints, especially in the lower extremities.",True,"What is Campylobacter jejuni, and what is the condition that it can cause?",0.8387925307868933,0.09882083838129957
,Petechiae is a skin finding that is often associated with thrombocytopenia and/or decreased platelet function.,Thrombocytopenia and/or decreased platelet function are commonly observed in individuals with petechiae.,Petechiae is a skin finding that is often associated with thrombocytopenia and/or decreased platelet function.,True,What skin manifestation is commonly observed in individuals with thrombocytopenia and/or decreased platelet function?,0.8986030254920108,0.16943571815930883
,"The enzyme that converts acetaldehyde to acetate is acetaldehyde dehydrogenase. Acetaldehyde is a toxic byproduct of alcohol metabolism that can cause a variety of unpleasant symptoms, including headache, nausea, and facial flushing. Acetaldehyde dehydrogenase is an enzyme that plays a key role in the breakdown of acetaldehyde, converting it to acetate, which is then further metabolized and eliminated from the body. However, some individuals have a genetic variation that leads to reduced activity of acetaldehyde dehydrogenase, which can result in a buildup of acetaldehyde and an increased risk of alcohol-related health problems.","Acetaldehyde dehydrogenase is the enzyme that converts acetaldehyde to acetate. Acetaldehyde is a toxic byproduct of alcohol metabolism, and its rapid conversion to acetate helps prevent damage to the body's cells and tissues. The process of converting acetaldehyde to acetate also produces NADH, which can be used as an energy source by the cell. Impaired function or deficiency in this enzyme can lead to a buildup of acetaldehyde in the body, resulting in","The enzyme that converts acetaldehyde to acetate is acetaldehyde dehydrogenase. Acetaldehyde is a toxic byproduct of alcohol metabolism that can cause a variety of unpleasant symptoms, including headache, nausea, and facial flushing. Acetaldehyde dehydrogenase is an enzyme that plays a key role in the breakdown of acetaldehyde, converting it to acetate, which is then further metabolized and eliminated from the body. However, some individuals have a genetic variation that leads to reduced activity of acetaldehyde dehydrogenase, which can result in a buildup of acetaldehyde and an increased risk of alcohol-related health problems.",True,What is the enzyme that converts acetaldehyde to acetate?,0.8607972077597178,0.1987583535575942
,"If a patient is experiencing contractions but is not progressing in labor, it is recommended to use an intrauterine pressure catheter (IUPC) to monitor the strength of contractions.","If a patient is experiencing contractions but not progressing in labor, the recommended course of action is to administer oxytocin. Oxytocin is a hormone that can stimulate uterine contractions and help progress labor. It may be used if a woman's cervix has begun to dilate but her contractions are weak or irregular, or if her labor has stalled for other reasons. The dose and timing of oxytocin administration should be carefully monitored by healthcare providers to ensure safe and effective","The recommended approach for managing protraction of active labor in a patient is oxytocin.

Protraction of active labor is a condition in which labor progresses slowly or stalls. Oxytocin is a hormone that is naturally produced by the body and is involved in the initiation and progression of labor. If labor is not progressing as it should, oxytocin can be administered to help stimulate contractions and facilitate delivery.

The recommended approach for managing protraction of active labor in a patient is oxytocin. This approach has been shown to be effective in helping labor progress and facilitating delivery. It is important for healthcare providers to monitor labor progress and intervene as necessary to ensure the best possible outcomes for both the mother and the baby.",False,What is the recommended course of action if a patient is experiencing contractions but is not progressing in labor?,0.5821895483278383,0.060811464658297135
,"Non-specific symptoms of stimulant withdrawal (stimulant or depressant) include post-use ""crash"", depression, lethargy, and hypersomnia/weight gain.",Nonspecific symptoms of stimulant withdrawal (stimulant or depressant) include myalgia and abdominal cramps.,"Non-specific symptoms of stimulant withdrawal (stimulant or depressant) include post-use ""crash"", depression, lethargy, and hypersomnia/weight gain.",True,What are some non-specific symptoms of stimulant withdrawal (stimulant or depressant)?,0.8704152353359946,0.3924259174695316
,Daptomycin is a lipopeptide antibiotic that is used to treat infections caused by Multi Drug Resistant Gram Positive Cocci.,"Daptomycin is primarily used to treat infections caused by Gram-positive bacteria, including Methicillin-resistant Staphylococcus aureus (MRSA) and Vancomycin-resistant Enterococcus faecalis (VREF). Daptomycin works by disrupting the bacterial cell membrane, leading to the death of the bacteria. It is administered intravenously and can be used to treat a variety of serious infections, such as bloodstream infections, skin and soft tissue infections, pneumonia, and end",Daptomycin is a lipopeptide antibiotic that is used to treat infections caused by Multi Drug Resistant Gram Positive Cocci.,True,What type of infections is Daptomycin used to treat?,0.755522907929833,0.018365181061352424
,African-American infants are the demographic that is most commonly associated with umbilical hernia.,"Umbilical hernia is a condition that commonly occurs in young black infants, typically under the age of 1. This type of hernia is caused by a weakness or hole in the abdominal wall at the site where the umbilical cord passes through during fetal development. While it can affect people of all ages and races, it is more common in certain populations such as African Americans and Hispanics. Risk factors for developing an umbilical hernia include premature birth, low birth weight, and",African-American infants are the demographic that is most commonly associated with umbilical hernia.,True,Which demographic is frequently linked to umbilical hernia?,0.7947973487871405,0.00020138799833629262
,"The internal iliac lymph node cluster is responsible for draining the lymphatic vessels from the bladder. The internal iliac lymph nodes are located in the pelvis, near the internal iliac artery. The lymphatic vessels from the bladder drain into the internal iliac lymphatic vessels, which then drain into the internal iliac lymph nodes. The internal iliac lymph nodes are an important site for the detection and spread of cancer cells from the bladder.",The lymphatic vessels from the bladder are drained by the obturator nodes.,"The internal iliac lymph node cluster is responsible for draining the lymphatic vessels from the bladder. The internal iliac lymph nodes are located in the pelvis, near the internal iliac artery. The lymphatic vessels from the bladder drain into the internal iliac lymphatic vessels, which then drain into the internal iliac lymph nodes. The internal iliac lymph nodes are an important site for the detection and spread of cancer cells from the bladder.",True,What is the name of the lymph node cluster responsible for draining the lymphatic vessels from the bladder?,0.7143886094051233,0.06684618418473218
,Neisseria gonorrhoeae is the cause of sterile urethritis that shows up on staining as gram-negative diplococci.,"Non-gonococcal urethritis is a type of sterile urethritis caused by organisms other than Neisseria gonorrhoeae. While some cases may be asymptomatic, others can cause symptoms such as pain or discomfort during urination, discharge from the penis, and irritation of the genital area. The causes of non-gonococcal urethritis include bacteria (such as Chlamydia trachomatis or Mycoplasma genitalium), viruses (such as herpes simplex virus",Neisseria gonorrhoeae is the cause of sterile urethritis that shows up on staining as gram-negative diplococci.,True,What is the cause of sterile urethritis that appears as gram-negative diplococci on staining?,0.684061328306161,0.0035527088315778746
