prompt,actual_answer,response,most_similar_answer,is_most_similar_actual,question,cosine_similarity_with_actual_answer,bleu_score
,"Inflammatory carcinoma is a subtype of invasive ductal carcinoma, which is a type of breast cancer. Inflammatory carcinoma is characterized by cancer cells that block lymphatic vessels in the skin of the breast, causing the breast to become red, swollen, and warm to the touch. This type of cancer is called ""inflammatory"" because it can mimic the symptoms of an inflammatory response, such as an infection. Inflammatory carcinoma is often more aggressive than other types of breast cancer, and it may be more likely to spread to other parts of the body. Treatment for inflammatory carcinoma typically involves a combination of surgery, chemotherapy, and radiation therapy, as well as targeted therapies that are designed to attack specific proteins on the surface of cancer cells.","Predicted Answer    Inflammation is a disease that causes a syphil...
Name: 0, dtype: object","Inflammatory carcinoma is a subtype of invasive ductal carcinoma, which is a type of breast cancer. Inflammatory carcinoma is characterized by cancer cells that block lymphatic vessels in the skin of the breast, causing the breast to become red, swollen, and warm to the touch. This type of cancer is called ""inflammatory"" because it can mimic the symptoms of an inflammatory response, such as an infection. Inflammatory carcinoma is often more aggressive than other types of breast cancer, and it may be more likely to spread to other parts of the body. Treatment for inflammatory carcinoma typically involves a combination of surgery, chemotherapy, and radiation therapy, as well as targeted therapies that are designed to attack specific proteins on the surface of cancer cells.",True,What is inflammatory carcinoma and what are its defining characteristics?,0.3397551909860441,0.0034143408862772973
,"Campylobacter jejuni is a type of curved bacteria that is commonly associated with food poisoning. In addition to causing gastrointestinal symptoms, Campylobacter jejuni can also lead to reactive arthritis, which is a type of spondyloarthropathy that affects the joints, especially in the lower extremities.","Predicted Answer    Campylobacter jejuni Campylobacter jejuni is a...
Name: 1, dtype: object","Campylobacter jejuni is a curved bacteria that causes inflammatory diarrhea. The diarrhea is initially watery and ill-smelling, and can progress to bloody diarrhea.",False,"What is Campylobacter jejuni, and what is the condition that it can cause?",0.7863978094185831,0.05760680049381206
,Petechiae is a skin finding that is often associated with thrombocytopenia and/or decreased platelet function.,"Predicted Answer    thrombocytopenia
Name: 2, dtype: object","Heparin-induced thrombocytopenia is a condition in which the immune system produces antibodies against complexes of heparin and a protein called platelet factor 4 (PF4). This can lead to the activation of platelets and the formation of blood clots, which can cause a decrease in the number of platelets in the blood (thrombocytopenia). Therefore, heparin-induced thrombocytopenia is associated with a low platelet count.",False,What skin manifestation is commonly observed in individuals with thrombocytopenia and/or decreased platelet function?,0.5848607335126316,0.012300686288463768
,"The enzyme that converts acetaldehyde to acetate is acetaldehyde dehydrogenase. Acetaldehyde is a toxic byproduct of alcohol metabolism that can cause a variety of unpleasant symptoms, including headache, nausea, and facial flushing. Acetaldehyde dehydrogenase is an enzyme that plays a key role in the breakdown of acetaldehyde, converting it to acetate, which is then further metabolized and eliminated from the body. However, some individuals have a genetic variation that leads to reduced activity of acetaldehyde dehydrogenase, which can result in a buildup of acetaldehyde and an increased risk of alcohol-related health problems.","Predicted Answer    Acetaldehyde is a acetaldehyde acetaminophene ...
Name: 3, dtype: object","The enzyme that converts acetaldehyde to acetate is acetaldehyde dehydrogenase. Acetaldehyde is a toxic byproduct of alcohol metabolism that can cause a variety of unpleasant symptoms, including headache, nausea, and facial flushing. Acetaldehyde dehydrogenase is an enzyme that plays a key role in the breakdown of acetaldehyde, converting it to acetate, which is then further metabolized and eliminated from the body. However, some individuals have a genetic variation that leads to reduced activity of acetaldehyde dehydrogenase, which can result in a buildup of acetaldehyde and an increased risk of alcohol-related health problems.",True,What is the enzyme that converts acetaldehyde to acetate?,0.6974329337164088,0.009852814524498862
,"If a patient is experiencing contractions but is not progressing in labor, it is recommended to use an intrauterine pressure catheter (IUPC) to monitor the strength of contractions.","Predicted Answer    Acute labor is a procedure that involves a pat...
Name: 4, dtype: object",The treatment options for prolonged or arrested active phase of labor include oxytocin to stimulate contractions or C-section to deliver the baby surgically.,False,What is the recommended course of action if a patient is experiencing contractions but is not progressing in labor?,0.4276847198756198,0.00825101291002796
,"Non-specific symptoms of stimulant withdrawal (stimulant or depressant) include post-use ""crash"", depression, lethargy, and hypersomnia/weight gain.","Predicted Answer    Symptoms of withdrawal include: a rash, a rash...
Name: 5, dtype: object","Non-specific symptoms of stimulant withdrawal (stimulant or depressant) include post-use ""crash"", depression, lethargy, and hypersomnia/weight gain.",True,What are some non-specific symptoms of stimulant withdrawal (stimulant or depressant)?,0.6973376475758352,0.011833064662823948
,Daptomycin is a lipopeptide antibiotic that is used to treat infections caused by Multi Drug Resistant Gram Positive Cocci.,"Predicted Answer    Infections with a syphilis, a syphilis, or a s...
Name: 6, dtype: object",Daptomycin is a lipopeptide antibiotic that is used to treat infections caused by Multi Drug Resistant Gram Positive Cocci.,True,What type of infections is Daptomycin used to treat?,0.26400718002647666,0.009160285722098505
,African-American infants are the demographic that is most commonly associated with umbilical hernia.,"Predicted Answer    a sexy sexy sexy sexy sexy sexy sexy sexy sexy...
Name: 7, dtype: object",Congenital umbilical hernia is a condition where the umbilical ring fails to close after physiologic herniation of the intestines.,False,Which demographic is frequently linked to umbilical hernia?,-0.061667346320556635,0.0
,"The internal iliac lymph node cluster is responsible for draining the lymphatic vessels from the bladder. The internal iliac lymph nodes are located in the pelvis, near the internal iliac artery. The lymphatic vessels from the bladder drain into the internal iliac lymphatic vessels, which then drain into the internal iliac lymph nodes. The internal iliac lymph nodes are an important site for the detection and spread of cancer cells from the bladder.","Predicted Answer    Lymph node cluster
Name: 8, dtype: object","The internal iliac lymph node cluster is responsible for draining the lymphatic vessels from the cervix. The internal iliac lymph nodes are located in the pelvis, near the internal iliac artery. The lymphatic vessels from the cervix drain into the internal iliac lymphatic vessels, which then drain into the internal iliac lymph nodes. The internal iliac lymph nodes are an important site for the detection and spread of cancer cells from the cervix.",False,What is the name of the lymph node cluster responsible for draining the lymphatic vessels from the bladder?,0.5525806465040719,0.005370612407202237
,Neisseria gonorrhoeae is the cause of sterile urethritis that shows up on staining as gram-negative diplococci.,"Predicted Answer    a gram-negative diplococci on staining
Name: 9, dtype: object",Neisseria gonorrhoeae is the cause of sterile urethritis that shows up on staining as gram-negative diplococci.,True,What is the cause of sterile urethritis that appears as gram-negative diplococci on staining?,0.6092366490669245,0.03440134693333791
