prompt,actual_answer,response,most_similar_answer,is_most_similar_actual,question,cosine_similarity_with_actual_answer,bleu_score
,"Inflammatory carcinoma is a subtype of invasive ductal carcinoma, which is a type of breast cancer. Inflammatory carcinoma is characterized by cancer cells that block lymphatic vessels in the skin of the breast, causing the breast to become red, swollen, and warm to the touch. This type of cancer is called ""inflammatory"" because it can mimic the symptoms of an inflammatory response, such as an infection. Inflammatory carcinoma is often more aggressive than other types of breast cancer, and it may be more likely to spread to other parts of the body. Treatment for inflammatory carcinoma typically involves a combination of surgery, chemotherapy, and radiation therapy, as well as targeted therapies that are designed to attack specific proteins on the surface of cancer cells.",Inflammatory carcinoma is a rare and aggressive form of breast cancer. Its defining characteristics include:,"Inflammatory carcinoma is a subtype of invasive ductal carcinoma, which is a type of breast cancer. Inflammatory carcinoma is characterized by cancer cells that block lymphatic vessels in the skin of the breast, causing the breast to become red, swollen, and warm to the touch. This type of cancer is called ""inflammatory"" because it can mimic the symptoms of an inflammatory response, such as an infection. Inflammatory carcinoma is often more aggressive than other types of breast cancer, and it may be more likely to spread to other parts of the body. Treatment for inflammatory carcinoma typically involves a combination of surgery, chemotherapy, and radiation therapy, as well as targeted therapies that are designed to attack specific proteins on the surface of cancer cells.",True,What is inflammatory carcinoma and what are its defining characteristics?,0.8157858807325356,0.03379673037276443
,"Campylobacter jejuni is a type of curved bacteria that is commonly associated with food poisoning. In addition to causing gastrointestinal symptoms, Campylobacter jejuni can also lead to reactive arthritis, which is a type of spondyloarthropathy that affects the joints, especially in the lower extremities.","Campylobacter jejuni is a type of bacteria commonly found in animal feces, particularly in poultry. It can be transmitted to humans through contaminated food or water. Infections caused by Campylobacter jejuni are known as campylobacteriosis, which typically presents with symptoms such as diarrhea (often bloody), abdominal pain, fever, and vomiting. Most cases of campylobacteriosis are self-limiting and resolve on their own without specific treatment; however, severe cases may require","Campylobacter jejuni is a curved bacteria that causes inflammatory diarrhea. The diarrhea is initially watery and ill-smelling, and can progress to bloody diarrhea.",False,"What is Campylobacter jejuni, and what is the condition that it can cause?",0.8637083745221718,0.0726620493742636
,Petechiae is a skin finding that is often associated with thrombocytopenia and/or decreased platelet function.,"Petechiae and bruising are commonly observed skin manifestations in individuals with thrombocytopenia and/or decreased platelet function. These occur due to the impaired ability of the blood to clot properly, leading to easy bleeding under the skin.",Petechiae is a skin finding that is often associated with thrombocytopenia and/or decreased platelet function.,True,What skin manifestation is commonly observed in individuals with thrombocytopenia and/or decreased platelet function?,0.874875024521607,0.09418613240934003
,"The enzyme that converts acetaldehyde to acetate is acetaldehyde dehydrogenase. Acetaldehyde is a toxic byproduct of alcohol metabolism that can cause a variety of unpleasant symptoms, including headache, nausea, and facial flushing. Acetaldehyde dehydrogenase is an enzyme that plays a key role in the breakdown of acetaldehyde, converting it to acetate, which is then further metabolized and eliminated from the body. However, some individuals have a genetic variation that leads to reduced activity of acetaldehyde dehydrogenase, which can result in a buildup of acetaldehyde and an increased risk of alcohol-related health problems.",The enzyme that converts acetaldehyde to acetate is aldehyde dehydrogenase (ALDH).,"The enzyme that converts acetaldehyde to acetate is acetaldehyde dehydrogenase. Acetaldehyde is a toxic byproduct of alcohol metabolism that can cause a variety of unpleasant symptoms, including headache, nausea, and facial flushing. Acetaldehyde dehydrogenase is an enzyme that plays a key role in the breakdown of acetaldehyde, converting it to acetate, which is then further metabolized and eliminated from the body. However, some individuals have a genetic variation that leads to reduced activity of acetaldehyde dehydrogenase, which can result in a buildup of acetaldehyde and an increased risk of alcohol-related health problems.",True,What is the enzyme that converts acetaldehyde to acetate?,0.7657129867967243,0.06669835625895933
,"If a patient is experiencing contractions but is not progressing in labor, it is recommended to use an intrauterine pressure catheter (IUPC) to monitor the strength of contractions.","It is important to consult with a healthcare provider in this situation. The recommended course of action may vary depending on the specific circumstances and medical history of the patient. In some cases, additional monitoring or interventions may be necessary to help progress labor safely for both the mother and baby. It is always best to seek guidance from a healthcare professional in these situations.","The recommended approach for managing protraction of active labor in a patient is oxytocin.

Protraction of active labor is a condition in which labor progresses slowly or stalls. Oxytocin is a hormone that is naturally produced by the body and is involved in the initiation and progression of labor. If labor is not progressing as it should, oxytocin can be administered to help stimulate contractions and facilitate delivery.

The recommended approach for managing protraction of active labor in a patient is oxytocin. This approach has been shown to be effective in helping labor progress and facilitating delivery. It is important for healthcare providers to monitor labor progress and intervene as necessary to ensure the best possible outcomes for both the mother and the baby.",False,What is the recommended course of action if a patient is experiencing contractions but is not progressing in labor?,0.5491847825061613,0.0033787293905666385
,"Non-specific symptoms of stimulant withdrawal (stimulant or depressant) include post-use ""crash"", depression, lethargy, and hypersomnia/weight gain.","Some non-specific symptoms of stimulant withdrawal, which can also occur during depressant withdrawal, may include:","Non-specific symptoms of stimulant withdrawal (stimulant or depressant) include post-use ""crash"", depression, lethargy, and hypersomnia/weight gain.",True,What are some non-specific symptoms of stimulant withdrawal (stimulant or depressant)?,0.9166632248919834,0.1171291646655074
,Daptomycin is a lipopeptide antibiotic that is used to treat infections caused by Multi Drug Resistant Gram Positive Cocci.,"Daptomycin is primarily used to treat skin and soft tissue infections caused by certain types of bacteria, including Staphylococcus aureus (including methicillin-resistant strains) and Enterococcus faecalis.",Daptomycin is a lipopeptide antibiotic that is used to treat infections caused by Multi Drug Resistant Gram Positive Cocci.,True,What type of infections is Daptomycin used to treat?,0.8417845982739502,0.05689015678253831
,African-American infants are the demographic that is most commonly associated with umbilical hernia.,"Umbilical hernias are more commonly seen in infants and newborns, as their abdominal muscles may not have fully closed around the umbilical cord during development. However, they can also occur in adults, particularly women who have been pregnant or individuals who are overweight. It is important to consult with a healthcare professional for an accurate diagnosis and appropriate treatment plan.",Congenital umbilical hernia is a condition where the umbilical ring fails to close after physiologic herniation of the intestines.,False,Which demographic is frequently linked to umbilical hernia?,0.7362681206090977,0.0005854871624088507
,"The internal iliac lymph node cluster is responsible for draining the lymphatic vessels from the bladder. The internal iliac lymph nodes are located in the pelvis, near the internal iliac artery. The lymphatic vessels from the bladder drain into the internal iliac lymphatic vessels, which then drain into the internal iliac lymph nodes. The internal iliac lymph nodes are an important site for the detection and spread of cancer cells from the bladder.",The lymph node cluster responsible for draining the lymphatic vessels from the bladder is called the obturator lymph nodes.,"The internal iliac lymph node cluster is responsible for draining the lymphatic vessels from the bladder. The internal iliac lymph nodes are located in the pelvis, near the internal iliac artery. The lymphatic vessels from the bladder drain into the internal iliac lymphatic vessels, which then drain into the internal iliac lymph nodes. The internal iliac lymph nodes are an important site for the detection and spread of cancer cells from the bladder.",True,What is the name of the lymph node cluster responsible for draining the lymphatic vessels from the bladder?,0.7928800679122612,0.13410821279462362
,Neisseria gonorrhoeae is the cause of sterile urethritis that shows up on staining as gram-negative diplococci.,"The most likely cause of sterile urethritis with gram-negative diplococci on staining is Neisseria gonorrhoeae, the bacteria responsible for gonorrhea.",Neisseria gonorrhoeae is the cause of sterile urethritis that shows up on staining as gram-negative diplococci.,True,What is the cause of sterile urethritis that appears as gram-negative diplococci on staining?,0.9289894977000783,0.1703532520764834
,"Bipolar I disorder is a mental health condition that is characterized by the presence of at least one manic episode, which may be accompanied by a hypomanic episode or a depressive episode. Manic episodes are periods of abnormally elevated mood, energy, and activity levels, while depressive episodes involve feelings of sadness, hopelessness, and a lack of interest or pleasure in activities. The specific symptoms and severity of these episodes can vary widely between individuals and over time.","Bipolar I disorder is a type of mood disorder characterized by the presence of at least one manic episode. A manic episode is defined as a distinct period lasting for at least one week where an individual experiences abnormally elevated, expansive, or irritable mood along with other symptoms such as increased energy, decreased need for sleep, racing thoughts or rapid speech, and impulsive behavior.","Bipolar I disorder is a mental health condition that is characterized by the presence of at least one manic episode, which may be accompanied by a hypomanic episode or a depressive episode. Manic episodes are periods of abnormally elevated mood, energy, and activity levels, while depressive episodes involve feelings of sadness, hopelessness, and a lack of interest or pleasure in activities. The specific symptoms and severity of these episodes can vary widely between individuals and over time.",True,"What is bipolar I disorder, and how is it defined in terms of manic and depressive episodes?",0.9180456939646813,0.18305098467833303
,"In diabetes patients, the conversion of glucose to sorbitol by the enzyme aldose reductase can lead to osmotic damage. Sorbitol accumulation can cause water to be drawn into cells, leading to swelling and damage. This can be particularly problematic in tissues with limited capacity for fluid expansion, such as the eyes and nerves.","The conversion of glucose to sorbitol by the enzyme aldose reductase leads to osmotic damage in diabetes patients due to the accumulation of sorbitol within cells. Sorbitol is an alcohol sugar that cannot freely diffuse out of cells and tends to accumulate inside them, drawing water into the cell through osmosis. This results in cellular swelling and disruption of normal cell function.","In diabetes patients, the conversion of glucose to sorbitol by the enzyme aldose reductase can lead to osmotic damage. Sorbitol accumulation can cause water to be drawn into cells, leading to swelling and damage. This can be particularly problematic in tissues with limited capacity for fluid expansion, such as the eyes and nerves.",True,How does the conversion of glucose to sorbitol by the enzyme aldose reductase lead to osmotic damage in diabetes patients?,0.900481221657928,0.2033548674564485
,"Although angiosarcomas may rupture and cause life-threatening hemorrhage, the best next step is lesion biopsy. The ultimate treatment for angiosarcomas typically involves surgical resection and/or radiation therapy.","The potential life-threatening complication of ruptured angiosarcomas is hemorrhage, which can lead to severe blood loss and shock.","Although angiosarcomas may rupture and cause life-threatening hemorrhage, the best next step is lesion biopsy. The ultimate treatment for angiosarcomas typically involves surgical resection and/or radiation therapy.",True,"What is the potential life-threatening complication of ruptured angiosarcomas and what is the recommended next step in management?
Bonus: What is the ultimate treatment for angiosarcomas?",0.8192722560038155,0.01867506984330751
,The pulmonary side effect that is commonly associated with adenosine is bronchospasm.,The most common pulmonary side effect associated with adenosine is dyspnea (difficulty breathing) or bronchospasm. These effects are more likely to occur in patients with preexisting lung conditions such as asthma or chronic obstructive pulmonary disease (COPD). It is important for healthcare providers to be aware of these potential side effects and closely monitor patients receiving adenosine therapy.,The pulmonary side effect that is commonly associated with adenosine is bronchospasm.,True,What is the pulmonary side effect that is commonly associated with adenosine?,0.8920609682408597,0.006002871531925505
,"Passive congestion is a condition in which there is an accumulation of blood in the veins and capillaries of an organ or tissue, due to impaired venous outflow. This can lead to swelling and congestion of the affected area. Passive congestion is typically associated with conditions that cause increased pressure in the veins, such as heart failure. Specifically, in the case of the liver, passive congestion is generally a sign of decompensated right heart failure. Other conditions that can cause passive congestion include pulmonary hypertension, chronic obstructive pulmonary disease (COPD), and venous thrombosis.","Passive congestion, also known as venous congestion or chronic passive congestion, is a condition where blood flow in the veins is impaired due to various factors such as heart failure or liver disease. This leads to an accumulation of deoxygenated blood and fluid in tissues causing them to become congested and swollen.","Passive congestion is a condition in which there is an accumulation of blood in the veins and capillaries of an organ or tissue, due to impaired venous outflow. This can lead to swelling and congestion of the affected area. Passive congestion is typically associated with conditions that cause increased pressure in the veins, such as heart failure. Specifically, in the case of the liver, passive congestion is generally a sign of decompensated right heart failure. Other conditions that can cause passive congestion include pulmonary hypertension, chronic obstructive pulmonary disease (COPD), and venous thrombosis.",True,What is passive congestion and what conditions is it typically associated with?,0.94176937818875,0.06701736344470194
,The underlying etiology in a patient with severe COPD who develops altered consciousness and seizures after administration of supplemental O2 is O2-induced CO2 retention.,"The administration of supplemental oxygen to a patient with severe COPD can lead to an increase in their blood oxygen levels, which may cause the body's carbon dioxide levels to decrease. This sudden change in blood gases can result in a condition known as hypercapnia, where there is too little carbon dioxide present in the bloodstream.",The underlying etiology in a patient with severe COPD who develops altered consciousness and seizures after administration of supplemental O2 is O2-induced CO2 retention.,True,What causes altered consciousness and seizures in a patient with severe COPD after administration of supplemental O2?,0.7783576695584483,0.051390497559509044
